File,SOH,seg_id,direction,I_A,C_rate,step_dur_s,OCV_V,R0_ohm,R1_ohm,tau1_s,C1_F,R2_ohm,tau2_s,C2_F,V1_0_mV,V2_0_mV,R0_jump_ohm,R0_consistent,rmse_mV,degenerate,n_points
cell003_cyc,NA,156,CHA,1.408,0.469,4320.9,4.107,0.02766,0.02235,27.745,1241.5,0.01607,233.88,14554.0,31.47,22.63,0.02399,False,0.365,False,907
cell003_cyc,NA,158,DCH,-1.408,-0.469,4320.3,3.5645,0.01951,0.01398,31.847,2278.3,0.00883,238.15,26962.9,-19.68,-12.44,0.01752,False,0.233,False,905
cell003_cyc,NA,160,CHA,1.408,0.469,4318.6,4.1068,0.02766,0.02248,27.858,1239.1,0.01605,236.81,14752.0,31.66,22.6,0.0236,False,0.378,False,907
cell003_cyc,NA,162,DCH,-1.408,-0.469,4320.4,3.564,0.01948,0.01387,31.443,2266.6,0.00885,237.09,26789.1,-19.53,-12.46,0.0176,True,0.229,False,905
cell003_cyc,NA,164,CHA,1.408,0.469,4319.8,4.1068,0.02741,0.02254,27.079,1201.5,0.01623,232.49,14324.6,31.74,22.85,0.02336,False,0.393,False,908
cell003_cyc,NA,166,DCH,-1.408,-0.469,4320.4,3.5637,0.01973,0.01384,32.517,2349.8,0.00869,244.31,28123.7,-19.49,-12.23,0.01752,False,0.219,False,905
cell003_cyc,NA,168,CHA,1.408,0.469,4319.8,4.1068,0.02789,0.02222,28.081,1263.6,0.01603,234.47,14629.0,31.29,22.57,0.02368,False,0.36,False,907
cell003_cyc,NA,170,DCH,-1.408,-0.469,4320.4,3.5634,0.01964,0.01376,32.018,2326.2,0.00874,241.16,27602.7,-19.38,-12.3,0.01752,False,0.221,False,905
cell003_cyc,NA,172,CHA,1.408,0.469,4322.3,4.107,0.02725,0.02251,26.571,1180.4,0.01631,229.95,14097.2,31.7,22.97,0.02352,False,0.404,False,908
cell003_cyc,NA,174,DCH,-1.408,-0.469,4320.3,3.5637,0.01971,0.01389,32.736,2357.6,0.00859,246.0,28646.3,-19.55,-12.09,0.0176,False,0.219,False,905
cell003_cyc,NA,176,CHA,1.408,0.469,4317.1,4.1067,0.02771,0.02242,27.584,1230.1,0.01609,233.65,14524.2,31.58,22.65,0.02344,False,0.379,False,908
cell003_cyc,NA,178,DCH,-1.408,-0.469,4320.4,3.563,0.01958,0.01388,32.016,2306.5,0.00858,245.64,28631.3,-19.55,-12.08,0.01767,True,0.23,False,905
cell003_cyc,NA,180,CHA,1.408,0.469,4321.3,4.1068,0.02782,0.02241,27.983,1248.8,0.016,236.68,14792.3,31.55,22.53,0.02352,False,0.372,False,908
cell003_cyc,NA,182,DCH,-1.408,-0.469,4320.4,3.563,0.01961,0.01385,31.981,2309.9,0.00859,244.42,28461.2,-19.5,-12.09,0.0176,False,0.226,False,905
cell003_cyc,NA,184,CHA,1.408,0.469,4318.7,4.1067,0.0278,0.0224,27.712,1237.2,0.01608,234.15,14562.6,31.54,22.64,0.02383,False,0.37,False,907
cell003_cyc,NA,186,DCH,-1.408,-0.469,4320.3,3.5625,0.01947,0.01385,31.375,2266.0,0.00865,244.12,28235.4,-19.5,-12.17,0.01752,False,0.234,False,905
cell003_cyc,NA,188,CHA,1.408,0.469,4322.3,4.1068,0.02783,0.02235,27.894,1248.1,0.01602,235.63,14710.3,31.47,22.56,0.02368,False,0.364,False,907
cell003_cyc,NA,190,DCH,-1.408,-0.469,4320.3,3.5628,0.01952,0.01376,31.791,2310.1,0.00862,245.83,28521.7,-19.38,-12.14,0.01744,False,0.22,False,905
cell003_cyc,NA,192,CHA,1.408,0.469,4318.3,4.1068,0.02746,0.02253,26.903,1193.9,0.01622,230.91,14234.8,31.73,22.84,0.02383,False,0.398,False,908
cell003_cyc,NA,194,DCH,-1.408,-0.469,4320.3,3.5623,0.01971,0.01373,32.161,2343.1,0.00851,246.63,28997.8,-19.33,-11.98,0.0176,False,0.217,False,905
cell003_cyc,NA,196,CHA,1.408,0.469,4319.8,4.1067,0.02788,0.02231,28.034,1256.7,0.016,235.42,14714.6,31.41,22.53,0.02376,False,0.365,False,907
cell003_cyc,NA,198,DCH,-1.408,-0.469,4320.4,3.562,0.01959,0.01368,31.529,2305.0,0.00855,243.6,28493.4,-19.26,-12.04,0.01752,False,0.224,False,905
cell003_cyc,NA,200,CHA,1.408,0.469,4319.1,4.1066,0.02761,0.02246,27.194,1211.0,0.01617,231.82,14339.0,31.62,22.77,0.02391,False,0.385,False,907
cell003_cyc,NA,202,DCH,-1.408,-0.469,4320.3,3.5616,0.01972,0.01363,32.039,2351.2,0.00846,247.6,29260.6,-19.19,-11.92,0.01752,False,0.217,False,905
cell003_cyc,NA,204,CHA,1.408,0.469,4321.4,4.1067,0.02762,0.02245,27.081,1206.4,0.01619,231.04,14271.2,31.61,22.8,0.0236,False,0.389,False,908
